#Layer-Name	Purpose-Name	GDS-Number	Datatype
SI        DRAWING     1    0
SI        TEXT        1    1
SHALLOW   DRAWING     2    0
SHALLOW   DRWSUB      2    2
N         DRAWING     5    0
NPLUS     DRAWING     6    0
P         DRAWING     7    0
PPLUS     DRAWING     8    0
SIL       DRAWING    10    0
CON       DRAWING    11    0
HT        DRAWING    15    0
M1        DRAWING    20    0
V12       DRAWING    21    0
M2        DRAWING    22    0
GE        DRAWING    30    0
NONE      DOC        50    0
NONE      ERROR      50    1
NONE      UNUSED     50    2
